;filename;len_in_sec;sr;num_hops;OVRL_raw;SIG_raw;BAK_raw;OVRL;SIG;BAK;P808_MOS
0;,/enchance/combined,wav;15,0;16000;6;1,5974243879318237;1,7109192609786987;3,0743606090545654;1,6547629665058707;1,8472671806259733;3,304099612331893;2,545229911804199
1;,/enchance/mic_new_e10_s1600,wav;15,0;16000;6;2,1075239181518555;2,4140312671661377;3,68965220451355;2,0961792382279394;2,462910970167863;3,743632987701423;3,1976511478424072
2;,/enchance/mic_new_e10_s800,wav;15,0;16000;6;2,260300397872925;2,5640006065368652;3,420844078063965;2,2213204693882136;2,5827197378276714;3,5668130619630536;3,1996138095855713
3;,/enchance/mic_new_e50_l5,wav;15,0;16000;6;2,0185165405273438;2,444707155227661;4,005276679992676;2,021793031552616;2,4877998251788367;3,9364584820348303;3,130234479904175
4;,/enchance/mic,wav;15,0;16000;6;1,9694514274597168;2,5417964458465576;4,021670818328857;1,9749924434148731;2,555602442433725;3,9368611176426107;2,2223615646362305
5;,/enchance/mic_new,wav;15,0;16000;6;1,838046908378601;2,3857996463775635;3,9013681411743164;1,867212568887587;2,43933784632586;3,8769333434285893;2,8515379428863525
